"id","country","country_code","marketing","utility","authentication","service","business_Initiated_rate","authentication_international","user_Initiated_rate","modified","market","updated"
"75","Hong Kong","852","5.3664","3.4603","3.1124","1.6385","5.4617",NULL,"1.6385","2024-10-19 17:18:38","n/a","0"
"76","Japan","81","5.3664","3.4603","3.1124","1.6385","5.4617",NULL,"1.6385","2024-10-19 17:18:38","n/a","0"
"77","Laos","856","5.3664","3.4603","3.1124","1.6385","5.4617",NULL,"1.6385","2024-10-19 17:18:38","n/a","0"
"78","Mongolia","976","5.3664","3.4603","3.1124","1.6385","5.4617",NULL,"1.6385","2024-10-19 17:18:38","n/a","0"
"79","Nepal","977","5.3664","3.4603","3.1124","1.6385","5.4617",NULL,"1.6385","2024-10-19 17:18:38","n/a","0"
"80","New Zealand","64","5.3664","3.4603","3.1124","1.6385","5.4617",NULL,"1.6385","2024-10-19 17:18:38","n/a","0"
"81","Papua New Guinea","675","5.3664","3.4603","3.1124","1.6385","5.4617",NULL,"1.6385","2024-10-19 17:18:38","n/a","0"
"82","Philippines","63","5.3664","3.4603","3.1124","1.6385","5.4617",NULL,"1.6385","2024-10-19 17:18:38","n/a","0"
"83","Singapore","65","5.3664","3.4603","3.1124","1.6385","5.4617",NULL,"1.6385","2024-10-19 17:18:38","n/a","0"
"84","Sri Lanka","94","5.3664","3.4603","3.1124","1.6385","5.4617",NULL,"1.6385","2024-10-19 17:18:38","n/a","0"
"85","Taiwan","886","5.3664","3.4603","3.1124","1.6385","5.4617",NULL,"1.6385","2024-10-19 17:18:38","n/a","0"
"86","Tajikistan","992","5.3664","3.4603","3.1124","1.6385","5.4617",NULL,"1.6385","2024-10-19 17:18:38","n/a","0"
"87","Thailand","66","5.3664","3.4603","3.1124","1.6385","5.4617",NULL,"1.6385","2024-10-19 17:18:38","n/a","0"
"88","Turkmenistan","993","5.3664","3.4603","3.1124","1.6385","5.4617",NULL,"1.6385","2024-10-19 17:18:38","n/a","0"
"89","Uzbekistan","998","5.3664","3.4603","3.1124","1.6385","5.4617",NULL,"1.6385","2024-10-19 17:18:38","n/a","0"
"90","Vietnam","84","5.3664","3.4603","3.1124","1.6385","5.4617",NULL,"1.6385","2024-10-19 17:18:38","n/a","0"
"92","Albania","355","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"93","Armenia","374","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"94","Azerbaijan","994","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"95","Belarus","375","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"96","Bulgaria","359","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"97","Croatia","385","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"98","Czech Republic","420","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"99","Georgia","995","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"100","Greece","30","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"101","Hungary","36","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"102","Latvia","371","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"103","Lithuania","370","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"104","Moldova","373","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"105","North Macedonia","389","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"106","Poland","48","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"107","Romania","40","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"108","Serbia","381","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"109","Slovakia","421","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"110","Slovenia","386","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"111","Ukraine","380","6.2997","4.5343","4.0809","1.835","6.1166",NULL,"1.835","2024-10-19 17:18:38","n/a","0"
"113","Bolivia","591","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"114","Costa Rica","506","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"115","Dominican Republic","1809","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"116","Dominican Republic","1829","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"117","Dominican Republic","1849","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"118","Ecuador","593","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"119","El Salvador","503","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"120","Guatemala","502","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"121","Haiti","509","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"122","Honduras","504","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"123","Jamaica","1658","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"124","Jamaica","1876","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"125","Nicaragua","505","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"126","Panama","507","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"127","Paraguay","595","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"128","Puerto Rico","1787","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"129","Puerto Rico","1939","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"130","Uruguay","598","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"131","Venezuela","58","5.4207","3.6187","3.2581","3.103","5.1716",NULL,"3.103","2024-10-19 17:18:38","n/a","0"
"133","Bahrain","973","2.4993","1.4512","1.303","1.5985","5.3284",NULL,"1.5985","2024-10-19 17:18:38","n/a","0"
"134","Iraq","964","2.4993","1.4512","1.303","1.5985","5.3284",NULL,"1.5985","2024-10-19 17:18:38","n/a","0"
"135","Jordan","962","2.4993","1.4512","1.303","1.5985","5.3284",NULL,"1.5985","2024-10-19 17:18:38","n/a","0"
"136","Kuwait","965","2.4993","1.4512","1.303","1.5985","5.3284",NULL,"1.5985","2024-10-19 17:18:38","n/a","0"
"137","Lebanon","961","2.4993","1.4512","1.303","1.5985","5.3284",NULL,"1.5985","2024-10-19 17:18:38","n/a","0"
"138","Oman","968","2.4993","1.4512","1.303","1.5985","5.3284",NULL,"1.5985","2024-10-19 17:18:38","n/a","0"
"139","Qatar","974","2.4993","1.4512","1.303","1.5985","5.3284",NULL,"1.5985","2024-10-19 17:18:38","n/a","0"
"140","Yemen","967","2.4993","1.4512","1.303","1.5985","5.3284",NULL,"1.5985","2024-10-19 17:18:38","n/a","0"
"142","Austria","43","4.3378","3.0775","2.7697","2.9104","9.7014",NULL,"2.9104","2024-10-19 17:18:38","n/a","0"
"143","Belgium","32","4.3378","3.0775","2.7697","2.9104","9.7014",NULL,"2.9104","2024-10-19 17:18:38","n/a","0"
"144","Denmark","45","4.3378","3.0775","2.7697","2.9104","9.7014",NULL,"2.9104","2024-10-19 17:18:38","n/a","0"
"145","Finland","358","4.3378","3.0775","2.7697","2.9104","9.7014",NULL,"2.9104","2024-10-19 17:18:38","n/a","0"
"146","Ireland","353","4.3378","3.0775","2.7697","2.9104","9.7014",NULL,"2.9104","2024-10-19 17:18:38","n/a","0"
"147","Norway","47","4.3378","3.0775","2.7697","2.9104","9.7014",NULL,"2.9104","2024-10-19 17:18:38","n/a","0"
"148","Portugal","351","4.3378","3.0775","2.7697","2.9104","9.7014",NULL,"2.9104","2024-10-19 17:18:38","n/a","0"
"149","Sweden","46","4.3378","3.0775","2.7697","2.9104","9.7014",NULL,"2.9104","2024-10-19 17:18:38","n/a","0"
"150","Switzerland","41","4.3378","3.0775","2.7697","2.9104","9.7014",NULL,"2.9104","2024-10-19 17:18:38","n/a","0"
